"week","defib_type","n"
2024-05-05,"School defib",50
2024-05-05,"Single guardian account defib",265
2024-05-12,"Multi guardian account defib",96
2024-05-12,"School defib",74
2024-05-12,"Single guardian account defib",289
2024-05-19,"Multi guardian account defib",153
2024-05-19,"School defib",225
2024-05-19,"Single guardian account defib",274
2024-05-26,"Multi guardian account defib",138
2024-05-26,"School defib",30
2024-05-26,"Single guardian account defib",251
2024-06-02,"Multi guardian account defib",104
2024-06-02,"School defib",92
2024-06-02,"Single guardian account defib",260
2024-06-09,"Multi guardian account defib",88
2024-06-09,"School defib",125
2024-06-09,"Single guardian account defib",256
2024-06-16,"Multi guardian account defib",97
2024-06-16,"School defib",92
2024-06-16,"Single guardian account defib",262
2024-06-23,"Multi guardian account defib",65
2024-06-23,"School defib",55
2024-06-23,"Single guardian account defib",255
2024-06-30,"Multi guardian account defib",55
2024-06-30,"School defib",53
2024-06-30,"Single guardian account defib",252
2024-07-07,"Multi guardian account defib",67
2024-07-07,"School defib",63
2024-07-07,"Single guardian account defib",191
2024-07-14,"Multi guardian account defib",58
2024-07-14,"School defib",55
2024-07-14,"Single guardian account defib",216
2024-07-21,"Multi guardian account defib",60
2024-07-21,"School defib",23
2024-07-21,"Single guardian account defib",251
2024-07-28,"Multi guardian account defib",63
2024-07-28,"School defib",5
2024-07-28,"Single guardian account defib",200
2024-08-04,"Multi guardian account defib",39
2024-08-04,"School defib",20
2024-08-04,"Single guardian account defib",212
2024-08-11,"Multi guardian account defib",139
2024-08-11,"School defib",13
2024-08-11,"Single guardian account defib",192
2024-08-18,"Multi guardian account defib",85
2024-08-18,"School defib",19
2024-08-18,"Single guardian account defib",202
2024-08-25,"Multi guardian account defib",62
2024-08-25,"School defib",14
2024-08-25,"Single guardian account defib",159
2024-09-01,"Multi guardian account defib",62
2024-09-01,"School defib",58
2024-09-01,"Single guardian account defib",214
2024-09-08,"Multi guardian account defib",50
2024-09-08,"School defib",41
2024-09-08,"Single guardian account defib",152
